Student_ID,Student_Name,Gender,Date_of_Birth,Class,Section,Admission_Date,Roll_Number,Guardian_Name,Guardian_Contact,Fee_Status,Scholarship,Performance_Category
1001,Student_1001,Female,2012-09-30,1,A,2023-04-03,Roll_1001,Guardian_1001,03174913853,Paid,Yes,High
1002,Student_1002,Male,2012-06-14,1,B,2023-04-22,Roll_1002,Guardian_1002,03371310554,Paid,Yes,High
1003,Student_1003,Female,2010-01-27,1,B,2022-11-23,Roll_1003,Guardian_1003,03474810735,Unpaid,No,Average
1004,Student_1004,Female,2011-02-23,1,B,2022-07-09,Roll_1004,Guardian_1004,03303971919,Paid,No,Average
1005,Student_1005,Male,2018-03-08,1,B,2024-07-29,Roll_1005,Guardian_1005,03387885264,Paid,No,Average
1006,Student_1006,Female,2016-06-22,1,A,2023-01-29,Roll_1006,Guardian_1006,03478264126,Paid,Yes,Average
1007,Student_1007,Male,2012-08-11,1,A,2022-07-26,Roll_1007,Guardian_1007,03304078714,Unpaid,No,Low
1008,Student_1008,Female,2012-05-08,1,B,2023-07-01,Roll_1008,Guardian_1008,03476786911,Paid,Yes,Average
1009,Student_1009,Female,2013-01-10,1,A,2023-03-26,Roll_1009,Guardian_1009,03467549477,Unpaid,Yes,Average
1010,Student_1010,Female,2014-07-02,1,A,2023-07-03,Roll_1010,Guardian_1010,03135534736,Paid,No,Low
1011,Student_1011,Female,2017-03-18,1,A,2024-07-28,Roll_1011,Guardian_1011,03176703600,Unpaid,Yes,Average
1012,Student_1012,Female,2018-05-18,1,A,2024-05-27,Roll_1012,Guardian_1012,03413281854,Unpaid,No,Average
1013,Student_1013,Male,2015-09-19,1,A,2024-10-07,Roll_1013,Guardian_1013,03148806619,Paid,Yes,Low
1014,Student_1014,Female,2016-09-08,1,A,2022-05-11,Roll_1014,Guardian_1014,03306570376,Unpaid,No,Average
1015,Student_1015,Male,2017-08-18,1,B,2022-08-23,Roll_1015,Guardian_1015,03465990466,Unpaid,No,Low
1016,Student_1016,Male,2015-02-02,1,A,2022-01-07,Roll_1016,Guardian_1016,03487670222,Unpaid,Yes,Average
1017,Student_1017,Female,2017-03-02,1,A,2024-11-05,Roll_1017,Guardian_1017,03426938392,Paid,Yes,Low
1018,Student_1018,Male,2016-09-19,1,B,2023-10-26,Roll_1018,Guardian_1018,03362318192,Paid,Yes,Low
1019,Student_1019,Female,2012-09-07,1,B,2022-04-29,Roll_1019,Guardian_1019,03229316949,Paid,Yes,Low
1020,Student_1020,Male,2011-06-10,1,B,2024-08-31,Roll_1020,Guardian_1020,03395173558,Paid,No,Low
1021,Student_1021,Male,2017-12-30,1,B,2023-10-01,Roll_1021,Guardian_1021,03314207359,Unpaid,No,Low
1022,Student_1022,Male,2010-09-20,1,B,2023-11-24,Roll_1022,Guardian_1022,03111292683,Paid,Yes,High
1023,Student_1023,Male,2012-07-26,1,A,2022-05-19,Roll_1023,Guardian_1023,03116864703,Unpaid,Yes,High
1024,Student_1024,Female,2012-05-27,1,A,2022-09-28,Roll_1024,Guardian_1024,03488346949,Unpaid,Yes,Average
1025,Student_1025,Male,2011-01-22,1,B,2022-07-18,Roll_1025,Guardian_1025,03453788671,Unpaid,No,Low
1026,Student_1026,Male,2017-07-21,1,B,2022-07-21,Roll_1026,Guardian_1026,03132541181,Unpaid,No,Average
1027,Student_1027,Male,2016-01-06,1,A,2024-07-07,Roll_1027,Guardian_1027,03175259798,Unpaid,Yes,Average
1028,Student_1028,Male,2014-12-21,1,B,2022-07-20,Roll_1028,Guardian_1028,03127159403,Paid,Yes,Average
1029,Student_1029,Female,2015-05-26,1,A,2023-03-14,Roll_1029,Guardian_1029,03315306864,Paid,Yes,Average
1030,Student_1030,Female,2012-12-22,1,B,2024-07-20,Roll_1030,Guardian_1030,03253142014,Unpaid,No,High
1031,Student_1031,Male,2010-08-28,1,A,2022-05-05,Roll_1031,Guardian_1031,03268365303,Paid,Yes,Average
1032,Student_1032,Male,2010-08-21,1,B,2024-11-06,Roll_1032,Guardian_1032,03143009514,Paid,Yes,Average
1033,Student_1033,Male,2014-07-12,1,A,2022-09-03,Roll_1033,Guardian_1033,03405842159,Paid,Yes,Average
1034,Student_1034,Female,2012-12-04,1,A,2023-02-23,Roll_1034,Guardian_1034,03459556395,Unpaid,Yes,Average
1035,Student_1035,Female,2015-02-16,1,B,2023-10-10,Roll_1035,Guardian_1035,03138946288,Paid,No,Average
1036,Student_1036,Male,2015-09-04,1,A,2023-06-28,Roll_1036,Guardian_1036,03171112077,Unpaid,Yes,High
1037,Student_1037,Male,2014-11-30,1,A,2023-09-12,Roll_1037,Guardian_1037,03428391997,Paid,No,Average
1038,Student_1038,Male,2012-12-19,1,A,2022-08-25,Roll_1038,Guardian_1038,03157464501,Paid,No,Low
1039,Student_1039,Female,2012-04-13,1,B,2023-06-25,Roll_1039,Guardian_1039,03371339422,Unpaid,No,Average
1040,Student_1040,Female,2013-02-07,1,A,2022-04-01,Roll_1040,Guardian_1040,03101903577,Unpaid,Yes,High
1041,Student_1041,Female,2016-03-09,1,B,2024-05-25,Roll_1041,Guardian_1041,03401134582,Paid,Yes,Average
1042,Student_1042,Male,2016-02-13,1,A,2022-03-15,Roll_1042,Guardian_1042,03298221323,Paid,No,Low
1043,Student_1043,Female,2018-12-05,1,A,2022-03-23,Roll_1043,Guardian_1043,03292097368,Paid,Yes,High
1044,Student_1044,Female,2016-12-17,1,A,2022-11-13,Roll_1044,Guardian_1044,03227097385,Paid,Yes,Average
1045,Student_1045,Female,2018-10-10,1,B,2024-04-23,Roll_1045,Guardian_1045,03459653651,Paid,No,High
1046,Student_1046,Male,2014-04-16,1,A,2022-03-21,Roll_1046,Guardian_1046,03352699780,Paid,Yes,Low
1047,Student_1047,Male,2012-07-02,1,B,2022-02-18,Roll_1047,Guardian_1047,03454352619,Paid,No,Average
1048,Student_1048,Male,2018-09-03,1,B,2023-07-26,Roll_1048,Guardian_1048,03288520142,Unpaid,No,Average
1049,Student_1049,Female,2012-01-02,1,A,2023-06-28,Roll_1049,Guardian_1049,03120539176,Paid,No,High
1050,Student_1050,Female,2014-11-23,1,B,2024-11-13,Roll_1050,Guardian_1050,03162086859,Unpaid,Yes,Average
1051,Student_1051,Female,2010-01-07,1,B,2024-11-30,Roll_1051,Guardian_1051,03389079213,Paid,No,High
